,year,date,venue,crowd,match_id,home_team,away_team,home_team_score,away_team_score
162,2019, Fri 2 Aug 7:50pm,Marvel Stadium,33226,9883,North Melbourne, Hawthorn,86,64
163,2019, Sat 3 Aug 1:45pm,Marvel Stadium,42940,9884,Essendon, Port Adelaide,67,126
164,2019, Sat 3 Aug 2:10pm,GIANTS Stadium,16116,9885,GWS, Sydney,83,81
165,2019, Sat 3 Aug 2:35pm,Optus Stadium,36310,9886,Fremantle, Geelong,95,61
166,2019, Sat 3 Aug 7:10pm,Adelaide Oval,39984,9888,Adelaide, St Kilda,92,70
167,2019, Sat 3 Aug 7:25pm,MCG,37254,9887,Melbourne, Richmond,60,93
168,2019, Sun 4 Aug 1:10pm,MCG,33577,9889,Collingwood, Gold Coast,120,51
169,2019, Sun 4 Aug 3:20pm,Marvel Stadium,32802,9890,Carlton, West Coast,75,99
170,2019, Sun 4 Aug 4:40pm,Gabba,25831,9891,Brisbane, Western Bulldogs,98,80
171,2019, Fri 9 Aug 7:50pm,Canberra Oval,11741,9892,GWS, Hawthorn,29,85
172,2019, Sat 10 Aug 1:40pm,Adelaide Oval,29568,9894,Port Adelaide, Sydney,103,56
173,2019, Sat 10 Aug 1:45pm,MCG,31903,9893,Melbourne, Collingwood,53,70
174,2019, Sat 10 Aug 4:35pm,Gabba,22530,9895,Brisbane, Gold Coast,144,53
175,2019, Sat 10 Aug 7:25pm,Marvel Stadium,41816,9896,Essendon, Western Bulldogs,33,137
176,2019, Sat 10 Aug 7:25pm,GMHBA Stadium,21664,9897,Geelong, North Melbourne,69,14
177,2019, Sun 11 Aug 1:10pm,Marvel Stadium,17715,9898,St Kilda, Fremantle,72,69
178,2019, Sun 11 Aug 3:20pm,MCG,51039,9899,Richmond, Carlton,73,45
179,2019, Sun 11 Aug 3:20pm,Optus Stadium,54994,9900,West Coast, Adelaide,90,80
180,2019, Fri 16 Aug 7:50pm,MCG,23700,9901,Melbourne, Sydney,42,95
181,2019, Sat 17 Aug 1:45pm,MCG,51786,9902,Carlton, St Kilda,78,68
182,2019, Sat 17 Aug 2:10pm,Gabba,35608,9903,Brisbane, Geelong,75,74
183,2019, Sat 17 Aug 4:05pm,Adelaide Oval,48175,9904,Adelaide, Collingwood,48,114
184,2019, Sat 17 Aug 6:10pm,Optus Stadium,47833,9906,Fremantle, Essendon,55,87
185,2019, Sat 17 Aug 7:25pm,Marvel Stadium,17063,9905,North Melbourne, Port Adelaide,144,58
186,2019, Sun 18 Aug 1:10pm,MCG,57415,9907,Richmond, West Coast,88,82
187,2019, Sun 18 Aug 3:20pm,GIANTS Stadium,10139,9908,GWS, Western Bulldogs,65,126
188,2019, Sun 18 Aug 4:40pm,Marvel Stadium,31331,9909,Hawthorn, Gold Coast,118,48
189,2019, Fri 23 Aug 7:50pm,MCG,85405,9917,Collingwood, Essendon,76,65
190,2019, Sat 24 Aug 1:45pm,SCG,33722,9918,Sydney, St Kilda,109,64
191,2019, Sat 24 Aug 2:10pm,Blundstone Arena,8202,9910,North Melbourne, Melbourne,88,83
192,2019, Sat 24 Aug 4:35pm,GMHBA Stadium,31669,9915,Geelong, Carlton,129,61
193,2019, Sat 24 Aug 6:10pm,Optus Stadium,55859,9914,West Coast, Hawthorn,67,105
194,2019, Sat 24 Aug 7:25pm,Metricon Stadium,7610,9912,Gold Coast, GWS,55,127
195,2019, Sun 25 Aug 1:10pm,Mars Stadium,9560,9916,Western Bulldogs, Adelaide,121,87
196,2019, Sun 25 Aug 3:20pm,MCG,76995,9911,Richmond, Brisbane,82,55
197,2019, Sun 25 Aug 4:10pm,Adelaide Oval,27504,9913,Port Adelaide, Fremantle,110,67
198,2019, Thu 5 Sep 6:10pm,Optus Stadium,59216,9919,West Coast, Essendon,116,61
199,2019, Fri 6 Sep 7:50pm,MCG,93436,9920,Geelong, Collingwood,51,61
200,2019, Sat 7 Sep 3:20pm,GIANTS Stadium,19218,9921,GWS, Western Bulldogs,113,55
201,2019, Sat 7 Sep 7:25pm,Gabba,37478,9922,Brisbane, Richmond,65,112
202,2019, Fri 13 Sep 7:50pm,MCG,51813,9923,Geelong, West Coast,88,68
203,2019, Sat 14 Sep 7:25pm,Gabba,30034,9924,Brisbane, GWS,80,83
204,2019, Fri 20 Sep 7:50pm,MCG,94423,9925,Richmond, Geelong,85,66
205,2019, Sat 21 Sep 4:35pm,MCG,77828,9926,Collingwood, GWS,52,56
206,2019, Sat 28 Sep 2:30pm,MCG,100014,9927,Richmond, GWS,114,25
