,year,date,venue,crowd,match_id,home_team,away_team,home_team_score,away_team_score,Match_id,AF_Away,AF_Home,SC_Away,SC_Home,match_result,match_result_home_margin,match_result_away_margin,sc_result,sc_correct?,af_result,af_correct?,diff_fantasy_result
1508,2017, Sat 3 Jun 4:35pm,GIANTS Stadium,13671,9399,GWS,Essendon,117,101,9399,1534,1685,1543,1758,home_win,16,-16,home_win,True,home_win,True,False
1509,2017, Sat 3 Jun 7:25pm,Marvel Stadium,36100,9400,North Melbourne,Richmond,66,101,9400,1870,1424,1814,1486,away_win,-35,35,away_win,True,away_win,True,False
1510,2017, Sun 4 Jun 2:40pm,Domain Stadium,34259,9401,Fremantle,Collingwood,85,105,9401,1911,1364,1831,1468,away_win,-20,20,away_win,True,away_win,True,False
1511,2017, Thu 8 Jun 7:20pm,SCG,20692,9402,Sydney,Western Bulldogs,88,42,9402,1401,1772,1503,1797,home_win,46,-46,home_win,True,home_win,True,False
1512,2017, Fri 9 Jun 7:20pm,Adelaide Oval,46082,9403,Adelaide,St Kilda,111,54,9403,1516,1709,1522,1777,home_win,57,-57,home_win,True,home_win,True,False
1513,2017, Sat 10 Jun 1:45pm,MCG,27392,9404,Hawthorn,Gold Coast,79,95,9404,1809,1623,1802,1500,away_win,-16,16,away_win,True,away_win,True,False
1514,2017, Sat 10 Jun 4:35pm,Gabba,11742,9405,Brisbane,Fremantle,121,64,9405,1353,1924,1398,1905,home_win,57,-57,home_win,True,home_win,True,False
1515,2017, Sat 10 Jun 7:25pm,Marvel Stadium,34022,9406,Essendon,Port Adelaide,131,61,9406,1575,1838,1444,1855,home_win,70,-70,home_win,True,home_win,True,False
1516,2017, Sun 11 Jun 3:20pm,Marvel Stadium,23194,9407,Carlton,GWS,71,70,9407,1582,1551,1676,1624,home_win,1,-1,away_win,False,away_win,False,False
1517,2017, Mon 12 Jun 3:20pm,MCG,70926,9408,Melbourne,Collingwood,104,100,9408,1811,1564,1647,1654,home_win,4,-4,home_win,True,away_win,False,True
1518,2017, Thu 15 Jun 6:10pm,Domain Stadium,35719,9409,West Coast,Geelong,83,70,9409,1434,1573,1544,1756,home_win,13,-13,home_win,True,home_win,True,False
1519,2017, Fri 16 Jun 7:50pm,Marvel Stadium,26107,9410,North Melbourne,St Kilda,72,89,9410,1647,1501,1763,1538,away_win,-17,17,away_win,True,away_win,True,False
1520,2017, Sat 17 Jun 1:45pm,MCG,58721,9411,Richmond,Sydney,71,80,9411,1517,1681,1596,1705,away_win,-9,9,home_win,False,home_win,False,False
1521,2017, Sat 17 Jun 4:05pm,Adelaide Oval,31772,9412,Port Adelaide,Brisbane,121,81,9412,1592,1630,1569,1732,home_win,40,-40,home_win,True,home_win,True,False
1522,2017, Sat 17 Jun 7:25pm,Metricon Stadium,11936,9413,Gold Coast,Carlton,73,83,9413,1788,1330,1893,1412,away_win,-10,10,away_win,True,away_win,True,False
1523,2017, Sun 18 Jun 3:20pm,Marvel Stadium,33667,9414,Western Bulldogs,Melbourne,56,113,9414,1837,1604,1790,1507,away_win,-57,57,away_win,True,away_win,True,False
1524,2017, Thu 22 Jun 7:20pm,Adelaide Oval,45312,9415,Adelaide,Hawthorn,82,96,9415,1694,1708,1686,1615,away_win,-14,14,away_win,True,home_win,False,True
1525,2017, Fri 23 Jun 7:50pm,SCG,34575,9416,Sydney,Essendon,86,85,9416,1498,1690,1589,1711,home_win,1,-1,home_win,True,home_win,True,False
1526,2017, Sat 24 Jun 1:45pm,MCG,35933,9417,Collingwood,Port Adelaide,62,93,9417,1584,1770,1578,1721,away_win,-31,31,home_win,False,home_win,False,False
1527,2017, Sat 24 Jun 4:35pm,Gabba,11455,9418,Brisbane,GWS,86,146,9418,1565,1414,1762,1538,away_win,-60,60,away_win,True,away_win,True,False
1528,2017, Sat 24 Jun 5:40pm,Domain Stadium,36622,9420,West Coast,Melbourne,96,99,9420,1525,1553,1696,1603,away_win,-3,3,away_win,True,home_win,False,True
1529,2017, Sat 24 Jun 7:25pm,Marvel Stadium,28263,9419,Western Bulldogs,North Melbourne,107,106,9419,1385,1711,1469,1829,home_win,1,-1,home_win,True,home_win,True,False
1530,2017, Sun 25 Jun 1:10pm,GMHBA Stadium,29928,9421,Geelong,Fremantle,74,72,9421,1578,1738,1578,1722,home_win,2,-2,home_win,True,home_win,True,False
1531,2017, Sun 25 Jun 3:20pm,MCG,64448,9422,Richmond,Carlton,84,58,9422,1403,1530,1553,1748,home_win,26,-26,home_win,True,home_win,True,False
1532,2017, Sun 25 Jun 4:40pm,Marvel Stadium,15844,9423,St Kilda,Gold Coast,103,72,9423,1694,1660,1603,1698,home_win,31,-31,home_win,True,away_win,False,True
1533,2017, Fri 30 Jun 7:50pm,MCG,47464,9424,Melbourne,Sydney,50,85,9424,1842,1391,1887,1413,away_win,-35,35,away_win,True,away_win,True,False
1534,2017, Sat 1 Jul 1:45pm,Marvel Stadium,29671,9425,Western Bulldogs,West Coast,80,87,9425,1534,1561,1683,1615,away_win,-7,7,away_win,True,home_win,False,True
1535,2017, Sat 1 Jul 2:10pm,MCG,33433,9426,Carlton,Adelaide,77,89,9426,1540,1813,1570,1731,away_win,-12,12,home_win,False,home_win,False,False
1536,2017, Sat 1 Jul 4:35pm,Metricon Stadium,12779,9427,Gold Coast,North Melbourne,118,99,9427,1416,1718,1494,1808,home_win,19,-19,home_win,True,home_win,True,False
1537,2017, Sat 1 Jul 7:10pm,Adelaide Oval,39979,9429,Port Adelaide,Richmond,63,76,9429,1653,1775,1634,1666,away_win,-13,13,home_win,False,home_win,False,False
1538,2017, Sat 1 Jul 7:25pm,GIANTS Stadium,15007,9428,GWS,Geelong,68,68,9428,1509,1673,1557,1739,tie,0,0,home_win,False,home_win,False,False
1539,2017, Sun 2 Jul 1:10pm,Marvel Stadium,41246,9430,Essendon,Brisbane,82,90,9430,1694,1486,1726,1576,away_win,-8,8,away_win,True,away_win,True,False
1540,2017, Sun 2 Jul 2:40pm,Domain Stadium,30541,9432,Fremantle,St Kilda,80,89,9432,1626,1795,1647,1653,away_win,-9,9,home_win,False,home_win,False,False
1541,2017, Sun 2 Jul 3:20pm,MCG,56593,9431,Hawthorn,Collingwood,118,94,9431,1766,1970,1533,1768,home_win,24,-24,home_win,True,home_win,True,False
