,date,venue,crowd,match_id,home_team,away_team,home_team_score,away_team_score
128, Sat 30 Jun 1:45pm,MCG,44891,5470,Collingwood, Fremantle,107,78
129, Sat 30 Jun 2:40pm,Domain Stadium,34592,5472,West Coast, Gold Coast,166,40
130, Sat 30 Jun 7:40pm,Marvel Stadium,40824,5474,Essendon, Western Bulldogs,140,56
131, Sat 30 Jun 7:40pm,ANZ Stadium,22565,5473,Sydney, GWS,132,38
132, Sun 1 Jul 1:10pm,GMHBA Stadium,13736,5475,Geelong, Port Adelaide,99,61
133, Sun 1 Jul 3:15pm,Gabba,22114,5477,Brisbane, Melbourne,122,61
134, Sun 1 Jul 4:40pm,Marvel Stadium,33106,5476,St Kilda, North Melbourne,103,136
135, Fri 6 Jul 7:50pm,MCG,75755,5478,Collingwood, Carlton,62,85
136, Sat 7 Jul 1:45pm,Blundstone Arena,14113,5480,North Melbourne, West Coast,84,86
137, Sat 7 Jul 2:10pm,MCG,46773,5479,Melbourne, Richmond,78,101
138, Sat 7 Jul 4:40pm,SCG,19419,5481,Sydney, Brisbane,110,63
139, Sat 7 Jul 7:10pm,AAMI Stadium,34829,5482,Port Adelaide, Adelaide,58,116
140, Sat 7 Jul 7:40pm,Marvel Stadium,45838,5483,St Kilda, Essendon,133,62
141, Sun 8 Jul 1:10pm,MCG,26518,5484,Hawthorn, GWS,193,31
142, Sun 8 Jul 2:40pm,Domain Stadium,30420,5486,Fremantle, Western Bulldogs,95,57
143, Sun 8 Jul 3:15pm,Metricon Stadium,15824,5485,Gold Coast, Geelong,96,110
144, Fri 13 Jul 7:50pm,Marvel Stadium,46423,5487,North Melbourne, Carlton,149,96
145, Sat 14 Jul 1:40pm,AAMI Stadium,17344,5488,Port Adelaide, Essendon,77,127
146, Sat 14 Jul 1:45pm,Marvel Stadium,13284,5489,Melbourne, Fremantle,83,117
147, Sat 14 Jul 4:40pm,Cazaly's Stadium,10961,5490,Richmond, Gold Coast,88,90
148, Sat 14 Jul 7:40pm,MCG,61717,5492,Geelong, Collingwood,79,110
149, Sat 14 Jul 7:40pm,Gabba,19228,5491,Brisbane, St Kilda,92,105
150, Sun 15 Jul 1:10pm,GIANTS Stadium,7669,5493,GWS, Adelaide,59,178
151, Sun 15 Jul 2:40pm,Domain Stadium,39152,5495,West Coast, Sydney,69,121
152, Sun 15 Jul 3:15pm,Marvel Stadium,24754,5494,Western Bulldogs, Hawthorn,44,116
153, Fri 20 Jul 7:50pm,Marvel Stadium,50066,5496,Geelong, Essendon,134,67
154, Sat 21 Jul 1:40pm,AAMI Stadium,40724,5497,Adelaide, West Coast,124,75
155, Sat 21 Jul 1:45pm,MCG,83714,5498,Collingwood, Hawthorn,91,138
156, Sat 21 Jul 4:40pm,Gabba,16550,5499,Gold Coast, Brisbane,48,59
157, Sat 21 Jul 7:10pm,TIO Stadium,6714,5500,Melbourne, Port Adelaide,56,84
158, Sat 21 Jul 7:40pm,Marvel Stadium,24615,5501,Western Bulldogs, Carlton,84,102
159, Sun 22 Jul 1:10pm,SCG,26834,5502,Sydney, St Kilda,105,76
160, Sun 22 Jul 2:40pm,Domain Stadium,28767,5503,Fremantle, GWS,132,37
161, Sun 22 Jul 3:15pm,MCG,47432,5504,Richmond, North Melbourne,99,103
162, Fri 27 Jul 7:50pm,Marvel Stadium,44899,5505,Essendon, Hawthorn,86,180
163, Sat 28 Jul 1:45pm,GMHBA Stadium,18377,5507,Geelong, Adelaide,102,75
164, Sat 28 Jul 2:10pm,Marvel Stadium,20816,5506,North Melbourne, Melbourne,127,73
165, Sat 28 Jul 4:40pm,GIANTS Stadium,8102,5508,GWS, Collingwood,54,174
166, Sat 28 Jul 7:40pm,MCG,46013,5510,Carlton, Richmond,95,91
167, Sat 28 Jul 7:40pm,Metricon Stadium,11169,5509,Gold Coast, Sydney,54,126
