,player_id,player_name
4086,1526,Mitch Morton
3168,1526,Mitch Morton
4823,1527,Justin Sherman
7362,1527,Justin Sherman
6483,1528,Henry Slattery
1085,1529,Nathan Ablett
5035,1529,Nathan Ablett
2331,153,Drew Petrie
4295,153,Drew Petrie
4798,1530,Jayden Attard
3573,1530,Jayden Attard
2673,1531,Benjamin Eckermann
2978,1532,Dean Limbach
1584,1533,Simon Taylor
6245,1533,Simon Taylor
7560,1534,Stephen Tiller
5785,1535,Adam Iacobucci
2928,1536,Chris Knights
4498,1536,Chris Knights
2230,1537,Brad Moran
4478,1537,Brad Moran
7635,1538,Benet Copping
6636,1539,Paul Thomas
5601,154,Mark Porter
2476,154,Mark Porter
1064,1540,Matthew Egan
3560,1541,James Gwilt
6501,1541,James Gwilt
4833,1542,Luke Forsyth
7801,1543,Toby Stribling
2215,1544,Ben Schwarze
5878,1545,Chris Bryan
5422,1545,Chris Bryan
5366,1546,Anthony Raso
589,1547,Eddie Betts
2722,1548,Elijah Ware
3331,1549,Will Thursfield
2238,155,Brady Rawlings
1560,1550,Ruory Kirkby
7525,1551,Rowan Nayna
2217,1552,Benjamin Davies
5827,1552,Benjamin Davies
4631,1553,Ryan Nye
5442,1554,Daniel Batson
1409,1555,Josh Gibson
2420,1555,Josh Gibson
7723,1556,Joseph Krieger
4231,1557,Benjamin Sharp
1682,1558,Brendan Van Schaik
6678,1559,Ryan Bain
4700,156,Ben Robbins
2213,156,Ben Robbins
3980,1560,Guy Campbell
984,1561,Jarrod Garth
7600,1562,Travis Baird
4960,1562,Travis Baird
7677,1563,Danyle Pearce
2710,1563,Danyle Pearce
5886,1564,Clinton Young
1297,1564,Clinton Young
7217,1565,Dale Morris
5996,1566,Heritier Lumumba
1843,1566,Heritier Lumumba
7721,1567,Jonathon Griffin
4557,1567,Jonathon Griffin
5534,1568,Jesse Smith
2175,157,Adam Simpson
7704,1570,Jack Juniper
4227,1571,Beau Maister
3374,1571,Beau Maister
5028,1572,Matthew Warnock
1962,1572,Matthew Warnock
6354,1573,Benjamin Jolley
4043,1574,Luke Vogels
1088,1575,Nick Batchelor
3487,1576,Edward McDonnell
1603,1577,Thomas Willday
4553,1578,John Hinge
5641,1579,Nick Becker
2386,158,Jess Sinclair
7716,158,Jess Sinclair
2600,1580,Scott McMahon
4225,1581,Ashley Thornton
3982,1582,Heath Grundy
1205,1583,Tim Sheringham
1427,1584,Kristan Height
5339,1585,Aisake O'hAilpin
2425,1586,Justin Perkins
4161,1587,Stefan Garrubba
3956,1588,Earl Shaw
4816,1589,Josh Drummond
2195,159,Anthony Stevens
3959,1590,Edward Clarke
4840,1591,Marcus Allan
3862,1592,Andrew Hayes
4972,1593,William Hamill
7411,1594,Martin Pask
4852,1594,Martin Pask
2809,1595,Scott Harding
4931,1595,Scott Harding
1047,1597,Luke Buckland
4532,16,Ian Perrie
2610,160,Shannon Watt
607,1607,Marc Murphy
5439,1608,Dale Thomas
5899,1608,Dale Thomas
1626,1609,Xavier Ellis
4447,1609,Xavier Ellis
5575,161,Kris Massie
4565,161,Kris Massie
379,1610,Joshua Kennedy
660,1611,Scott Pendlebury
1251,1612,Beau Dowler
301,1613,Patrick Ryder
4315,1614,Jarrad Oakley-Nicholls
3056,1614,Jarrad Oakley-Nicholls
4878,1615,Mitchell Clark
1983,1615,Mitchell Clark
1081,1615,Mitchell Clark
1051,1616,Marcus Drum
7743,1616,Marcus Drum
168,1617,Shaun Higgins
123,1618,Nathan Jones
390,1619,Shannon Hurn
4880,162,Nathan Buckley
6140,162,Nathan Buckley
461,1620,Grant Birchall
666,1621,Travis Varcoe
4620,1622,Richard Douglas
4510,1623,Darren Pfeiffer
5448,1623,Darren Pfeiffer
2712,1623,Darren Pfeiffer
1462,1624,Max Bailey
6395,1625,Courtenay Dempsey
5648,1626,Paul Bower
5912,1627,Danny Stanley
4989,1627,Danny Stanley
1252,1628,Beau Muston
6215,1629,Ryan Cook
6224,163,Scott Burns
2936,1630,Cleve Hughes
4971,1631,Wayde Mills
7687,1632,Garrick Ibbotson
5057,1633,Dylan Addison
7250,1633,Dylan Addison
2485,1634,Matt Riggio
4230,1635,Ben McKinley
2212,1635,Ben McKinley
2790,1636,Nick Lower
7762,1636,Nick Lower
7456,1636,Nick Lower
4964,1637,Trent West
1217,1637,Trent West
1669,1638,Bernie Vince
4477,1638,Bernie Vince
3771,1639,Sam Gilbert
7706,164,James Clement
6010,164,James Clement
4069,1640,Matthew Spangher
4360,1640,Matthew Spangher
1460,1640,Matthew Spangher
1183,1641,Stephen Owen
5518,1642,Jake Edwards
6031,1643,John Anthony
7719,1643,John Anthony
1616,1644,Travis Tuck
6512,1645,Jay Neagle
3308,1646,Travis Casserly
4906,1647,Rhan Hooper
1530,1647,Rhan Hooper
7775,1648,Robert Warnock
5696,1648,Robert Warnock
2190,1649,Andrew Swallow
6657,165,Richard Cole
6190,165,Richard Cole
2667,1650,Alipate Carlile
3766,1651,Ryan Gamble
1157,1651,Ryan Gamble
4455,1652,Alan Obst
2182,1652,Alan Obst
3680,1653,Michael Rix
3252,1654,Sam Lonergan
6683,1654,Sam Lonergan
4064,1655,Matthew Laidlaw
6243,1656,Simon Buckley
